,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,34,pounds,False,Nonstop,Ryanair,1:55PM,3:20PM,Madrid,London,2023/09/15,2023-07-01
1,37,pounds,False,Nonstop,easyJet,9:50PM,11:05PM,Madrid,London,2023/09/15,2023-07-01
2,60,pounds,True,Nonstop,Iberia Express,6:40PM,8:00PM,Madrid,London,2023/09/15,2023-07-01
3,30,pounds,False,Nonstop,Ryanair,10:30PM,11:55PM,Madrid,London,2023/09/15,2023-07-01
4,39,pounds,False,Nonstop,Ryanair,12:20PM,1:40PM,Madrid,London,2023/09/15,2023-07-01
5,66,pounds,True,Nonstop,Iberia. Operated by Iberia Express,6:40PM,8:00PM,Madrid,London,2023/09/15,2023-07-01
6,68,pounds,False,Nonstop,easyJet,12:10PM,1:35PM,Madrid,London,2023/09/15,2023-07-01
7,72,pounds,True,Nonstop,Iberia Express,8:45AM,10:05AM,Madrid,London,2023/09/15,2023-07-01
8,81,pounds,True,Nonstop,Iberia. Operated by Iberia Express,8:45AM,10:05AM,Madrid,London,2023/09/15,2023-07-01
9,87,pounds,False,1,Vueling and easyJet,8:45PM,1:20AM,Madrid,London,2023/09/15,2023-07-01
10,89,pounds,False,1,easyJet,5:55PM,12:10AM,Madrid,London,2023/09/15,2023-07-01
11,90,pounds,False,1,Vueling and easyJet,6:25PM,11:05PM,Madrid,London,2023/09/15,2023-07-01
12,93,pounds,False,1,easyJet,9:55AM,6:30PM,Madrid,London,2023/09/15,2023-07-01
13,95,pounds,True,Nonstop,Air Europa,7:35AM,9:00AM,Madrid,London,2023/09/15,2023-07-01
14,96,pounds,False,1,Vueling,9:30AM,3:50PM,Madrid,London,2023/09/15,2023-07-01
15,96,pounds,False,1,Vueling,1:40PM,8:20PM,Madrid,London,2023/09/15,2023-07-01
16,96,pounds,False,1,Vueling,6:25PM,8:30AM,Madrid,London,2023/09/15,2023-07-01
17,102,pounds,True,Nonstop,British Airways,8:45PM,10:00PM,Madrid,London,2023/09/15,2023-07-01
18,104,pounds,False,1,Vueling,9:30AM,1:50PM,Madrid,London,2023/09/15,2023-07-01
19,104,pounds,False,1,Vueling,9:30AM,8:20PM,Madrid,London,2023/09/15,2023-07-01
20,113,pounds,False,1,Vueling,1:40PM,9:05PM,Madrid,London,2023/09/15,2023-07-01
21,113,pounds,False,1,Vueling,6:25PM,8:55AM,Madrid,London,2023/09/15,2023-07-01
22,113,pounds,True,Nonstop,Air Europa,3:00PM,4:25PM,Madrid,London,2023/09/15,2023-07-01
23,114,pounds,True,1,Transavia and Vueling,6:55AM,11:55AM,Madrid,London,2023/09/15,2023-07-01
24,115,pounds,True,Nonstop,Iberia,2:55PM,4:20PM,Madrid,London,2023/09/15,2023-07-01
25,57,pounds,False,Nonstop,Ryanair,3:50PM,7:20PM,London,Madrid,2023/09/15,2023-07-01
26,59,pounds,False,Nonstop,easyJet,5:40PM,9:15PM,London,Madrid,2023/09/15,2023-07-01
27,69,pounds,True,Nonstop,Iberia Express,8:45PM,12:10AM,London,Madrid,2023/09/15,2023-07-01
28,64,pounds,False,Nonstop,Ryanair,6:25PM,9:55PM,London,Madrid,2023/09/15,2023-07-01
29,67,pounds,False,Nonstop,easyJet,7:20AM,11:00AM,London,Madrid,2023/09/15,2023-07-01
30,70,pounds,False,1,Vueling,9:45PM,1:05PM,London,Madrid,2023/09/15,2023-07-01
31,75,pounds,True,Nonstop,Iberia. Operated by Iberia Express,8:45PM,12:10AM,London,Madrid,2023/09/15,2023-07-01
32,75,pounds,False,Nonstop,Ryanair,7:40AM,11:10AM,London,Madrid,2023/09/15,2023-07-01
33,79,pounds,False,1,Vueling,9:45PM,8:55AM,London,Madrid,2023/09/15,2023-07-01
34,92,pounds,False,1,Vueling,9:05PM,1:05PM,London,Madrid,2023/09/15,2023-07-01
35,92,pounds,False,1,easyJet,7:15AM,3:55PM,London,Madrid,2023/09/15,2023-07-01
36,100,pounds,False,1,Vueling,4:30PM,8:55AM,London,Madrid,2023/09/15,2023-07-01
37,100,pounds,False,1,Vueling,9:05PM,8:55AM,London,Madrid,2023/09/15,2023-07-01
38,102,pounds,True,Nonstop,Air Europa,5:25PM,8:55PM,London,Madrid,2023/09/15,2023-07-01
39,105,pounds,True,Nonstop,British Airways,6:15AM,9:40AM,London,Madrid,2023/09/15,2023-07-01
40,111,pounds,True,Nonstop,Iberia Express,10:50AM,2:20PM,London,Madrid,2023/09/15,2023-07-01
41,115,pounds,True,Nonstop,Iberia,3:50PM,7:20PM,London,Madrid,2023/09/15,2023-07-01
42,117,pounds,True,Nonstop,Air Europa,10:00AM,1:30PM,London,Madrid,2023/09/15,2023-07-01
43,118,pounds,True,Nonstop,Iberia. Operated by Iberia Express,10:50AM,2:20PM,London,Madrid,2023/09/15,2023-07-01
