,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,31,pounds,False,Nonstop,Ryanair,11:00AM,12:30PM,Mallorca Palma,London,2023/09/14,2023-07-01
1,37,pounds,False,Nonstop,easyJet,10:05AM,11:40AM,Mallorca Palma,London,2023/09/14,2023-07-01
2,47,pounds,True,Nonstop,British Airways. Operated by Avion Express for BA Euroflyer,12:40PM,2:15PM,Mallorca Palma,London,2023/09/14,2023-07-01
3,31,pounds,False,Nonstop,easyJet,7:00AM,8:35AM,Mallorca Palma,London,2023/09/14,2023-07-01
4,42,pounds,False,Nonstop,Ryanair,4:25PM,5:55PM,Mallorca Palma,London,2023/09/14,2023-07-01
5,43,pounds,False,Nonstop,Ryanair,11:20PM,12:50AM,Mallorca Palma,London,2023/09/14,2023-07-01
6,50,pounds,True,1,Vueling,7:00AM,8:00PM,Mallorca Palma,London,2023/09/14,2023-07-01
7,51,pounds,False,Nonstop,easyJet,11:10AM,12:45PM,Mallorca Palma,London,2023/09/14,2023-07-01
8,52,pounds,False,Nonstop,Wizz Air,10:05PM,11:45PM,Mallorca Palma,London,2023/09/14,2023-07-01
9,56,pounds,False,Nonstop,easyJet,4:30PM,6:00PM,Mallorca Palma,London,2023/09/14,2023-07-01
10,58,pounds,False,1,Vueling,6:50AM,12:45PM,Mallorca Palma,London,2023/09/14,2023-07-01
11,58,pounds,False,1,Vueling,7:30AM,12:45PM,Mallorca Palma,London,2023/09/14,2023-07-01
12,59,pounds,False,1,easyJet,7:15AM,2:35PM,Mallorca Palma,London,2023/09/14,2023-07-01
13,61,pounds,False,1,easyJet,10:45AM,6:30PM,Mallorca Palma,London,2023/09/14,2023-07-01
14,62,pounds,False,1,Vueling,6:50AM,3:50PM,Mallorca Palma,London,2023/09/14,2023-07-01
15,62,pounds,False,1,Vueling,6:50AM,9:05PM,Mallorca Palma,London,2023/09/14,2023-07-01
16,62,pounds,False,1,Vueling,7:30AM,3:50PM,Mallorca Palma,London,2023/09/14,2023-07-01
17,62,pounds,False,1,Vueling,7:30AM,9:05PM,Mallorca Palma,London,2023/09/14,2023-07-01
18,62,pounds,False,1,Vueling,9:00PM,8:55AM,Mallorca Palma,London,2023/09/14,2023-07-01
19,62,pounds,False,1,Vueling,10:10PM,8:55AM,Mallorca Palma,London,2023/09/14,2023-07-01
20,62,pounds,False,1,Vueling,11:00PM,8:55AM,Mallorca Palma,London,2023/09/14,2023-07-01
21,64,pounds,False,1,Vueling and easyJet,6:50AM,12:15PM,Mallorca Palma,London,2023/09/14,2023-07-01
22,64,pounds,False,1,Vueling and easyJet,6:50AM,12:40PM,Mallorca Palma,London,2023/09/14,2023-07-01
23,64,pounds,False,1,Vueling and easyJet,7:30AM,12:15PM,Mallorca Palma,London,2023/09/14,2023-07-01
24,64,pounds,False,1,Vueling and easyJet,7:30AM,12:40PM,Mallorca Palma,London,2023/09/14,2023-07-01
25,40,pounds,False,Nonstop,Wizz Air,5:50PM,9:20PM,London,Mallorca Palma,2023/09/14,2023-07-01
26,59,pounds,False,Nonstop,easyJet,5:40PM,9:10PM,London,Mallorca Palma,2023/09/14,2023-07-01
27,60,pounds,False,Nonstop,Ryanair,12:20PM,3:50PM,London,Mallorca Palma,2023/09/14,2023-07-01
28,76,pounds,True,Nonstop,Jet2,5:30PM,9:00PM,London,Mallorca Palma,2023/09/14,2023-07-01
29,54,pounds,False,Nonstop,Ryanair,7:15PM,10:45PM,London,Mallorca Palma,2023/09/14,2023-07-01
30,65,pounds,False,Nonstop,easyJet,7:35PM,11:00PM,London,Mallorca Palma,2023/09/14,2023-07-01
31,67,pounds,False,Nonstop,easyJet,9:55PM,1:10AM,London,Mallorca Palma,2023/09/14,2023-07-01
32,68,pounds,False,Nonstop,easyJet,12:25PM,3:50PM,London,Mallorca Palma,2023/09/14,2023-07-01
33,71,pounds,False,1,easyJet,3:20PM,11:30PM,London,Mallorca Palma,2023/09/14,2023-07-01
34,76,pounds,False,Nonstop,Ryanair,6:55AM,10:25AM,London,Mallorca Palma,2023/09/14,2023-07-01
35,76,pounds,True,Nonstop,Jet2,7:25PM,10:55PM,London,Mallorca Palma,2023/09/14,2023-07-01
36,93,pounds,False,1,easyJet and Vueling,5:00PM,12:10AM,London,Mallorca Palma,2023/09/14,2023-07-01
37,93,pounds,False,1,easyJet and Vueling,7:40PM,7:50AM,London,Mallorca Palma,2023/09/14,2023-07-01
38,97,pounds,True,1,Vueling,6:40PM,2:40PM,London,Mallorca Palma,2023/09/14,2023-07-01
39,98,pounds,True,1,Vueling,8:40PM,9:20AM,London,Mallorca Palma,2023/09/14,2023-07-01
40,98,pounds,True,1,Vueling,8:40PM,3:55PM,London,Mallorca Palma,2023/09/14,2023-07-01
41,102,pounds,False,1,easyJet and Vueling,9:25AM,3:55PM,London,Mallorca Palma,2023/09/14,2023-07-01
42,103,pounds,False,1,easyJet,8:10AM,5:50PM,London,Mallorca Palma,2023/09/14,2023-07-01
43,106,pounds,False,Nonstop,easyJet,5:55AM,9:25AM,London,Mallorca Palma,2023/09/14,2023-07-01
44,107,pounds,False,1,easyJet,6:00AM,4:30PM,London,Mallorca Palma,2023/09/14,2023-07-01
45,108,pounds,True,1,Air Europa,10:00AM,9:40AM,London,Mallorca Palma,2023/09/14,2023-07-01
46,108,pounds,True,1,Air Europa,10:00AM,11:35AM,London,Mallorca Palma,2023/09/14,2023-07-01
47,108,pounds,True,2,Air Europa,5:25PM,9:50AM,London,Mallorca Palma,2023/09/14,2023-07-01
48,109,pounds,True,1,Vueling and Transavia,8:00AM,3:55PM,London,Mallorca Palma,2023/09/14,2023-07-01
49,112,pounds,False,1,easyJet,5:55AM,4:30PM,London,Mallorca Palma,2023/09/14,2023-07-01
50,38,pounds,False,Nonstop,Ryanair,9:40PM,11:35PM,Athens,London,2023/07/19,2023-07-01
51,43,pounds,False,Nonstop,Wizz Air,1:10PM,3:10PM,Athens,London,2023/07/19,2023-07-01
52,89,pounds,True,Nonstop,SKY express,12:30PM,2:25PM,Athens,London,2023/07/19,2023-07-01
53,55,pounds,False,Nonstop,Ryanair,3:10PM,5:05PM,Athens,London,2023/07/19,2023-07-01
54,71,pounds,False,1,Volotea and easyJet,8:45PM,2:00AM,Athens,London,2023/07/19,2023-07-01
55,77,pounds,False,1,Wizz Air,10:10AM,2:45PM,Athens,London,2023/07/19,2023-07-01
56,79,pounds,False,Nonstop,easyJet,9:10PM,11:00PM,Athens,London,2023/07/19,2023-07-01
57,91,pounds,False,1,Austrian and Wizz Air,6:40AM,10:20AM,Athens,London,2023/07/19,2023-07-01
58,91,pounds,False,Nonstop,easyJet,12:15PM,2:10PM,Athens,London,2023/07/19,2023-07-01
59,92,pounds,False,1,Volotea and easyJet,4:50PM,10:55PM,Athens,London,2023/07/19,2023-07-01
60,101,pounds,True,Nonstop,British Airways,8:20PM,10:10PM,Athens,London,2023/07/19,2023-07-01
61,104,pounds,False,1,Aegean and easyJet,8:00AM,1:25PM,Athens,London,2023/07/19,2023-07-01
62,104,pounds,True,1,Lufthansa,6:00AM,9:55AM,Athens,London,2023/07/19,2023-07-01
63,108,pounds,False,1,Wizz Air and Air Albania,10:10AM,3:30PM,Athens,London,2023/07/19,2023-07-01
64,115,pounds,True,1,Lufthansa,11:25AM,3:40PM,Athens,London,2023/07/19,2023-07-01
65,116,pounds,False,1,easyJet,11:30AM,6:30PM,Athens,London,2023/07/19,2023-07-01
66,116,pounds,True,Nonstop,British Airways,7:00PM,8:55PM,Athens,London,2023/07/19,2023-07-01
67,120,pounds,False,1,Aegean and easyJet,9:45AM,1:25PM,Athens,London,2023/07/19,2023-07-01
68,122,pounds,True,1,Lufthansa,1:55PM,5:40PM,Athens,London,2023/07/19,2023-07-01
69,124,pounds,True,1,Lufthansa,6:00AM,12:50PM,Athens,London,2023/07/19,2023-07-01
70,124,pounds,True,1,Lufthansa,6:00AM,3:45PM,Athens,London,2023/07/19,2023-07-01
71,124,pounds,True,1,Lufthansa,6:00AM,5:05PM,Athens,London,2023/07/19,2023-07-01
72,124,pounds,True,1,Lufthansa,6:00AM,6:25PM,Athens,London,2023/07/19,2023-07-01
73,124,pounds,True,1,Lufthansa,6:00AM,7:40PM,Athens,London,2023/07/19,2023-07-01
74,124,pounds,True,1,Lufthansa,12:55PM,5:05PM,Athens,London,2023/07/19,2023-07-01
75,144,pounds,False,Nonstop,Wizz Air,6:50AM,12:35PM,London,Athens,2023/07/19,2023-07-01
76,144,pounds,False,Nonstop,Wizz Air,10:05PM,3:55AM,London,Athens,2023/07/19,2023-07-01
77,191,pounds,False,Nonstop,Ryanair,3:35PM,9:10PM,London,Athens,2023/07/19,2023-07-01
78,200,pounds,False,Nonstop,easyJet,2:40PM,8:25PM,London,Athens,2023/07/19,2023-07-01
79,284,pounds,True,Nonstop,SKY express,3:20PM,8:50PM,London,Athens,2023/07/19,2023-07-01
80,138,pounds,False,1,easyJet and Volotea,2:30PM,12:25AM,London,Athens,2023/07/19,2023-07-01
81,148,pounds,True,1,"Scandinavian Airlines. Operated by Sas Connect, Sas Connect",9:05PM,10:40AM,London,Athens,2023/07/19,2023-07-01
82,161,pounds,False,1,British Airways and Volotea,11:50AM,10:00PM,London,Athens,2023/07/19,2023-07-01
83,161,pounds,False,1,easyJet and Olympic,2:30PM,1:15AM,London,Athens,2023/07/19,2023-07-01
84,166,pounds,False,1,easyJet and SKY express,2:30PM,10:35PM,London,Athens,2023/07/19,2023-07-01
85,169,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,7:05AM,7:25PM,London,Athens,2023/07/19,2023-07-01
86,169,pounds,True,1,Scandinavian Airlines,10:20AM,7:25PM,London,Athens,2023/07/19,2023-07-01
87,171,pounds,False,1,Wizz Air and Aegean,12:20PM,9:55PM,London,Athens,2023/07/19,2023-07-01
88,172,pounds,False,2,Eurowings and SKY express,9:10AM,10:35PM,London,Athens,2023/07/19,2023-07-01
89,175,pounds,False,2,Eurowings and Aegean,9:10AM,9:05PM,London,Athens,2023/07/19,2023-07-01
90,177,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,9:55AM,8:35PM,London,Athens,2023/07/19,2023-07-01
91,178,pounds,True,1,British Airways and Aegean,3:10PM,12:30AM,London,Athens,2023/07/19,2023-07-01
92,181,pounds,False,2,Scandinavian Airlines and Aegean,10:35AM,11:59PM,London,Athens,2023/07/19,2023-07-01
93,184,pounds,False,2,Scandinavian Airlines and SKY express,10:35AM,11:25PM,London,Athens,2023/07/19,2023-07-01
94,185,pounds,True,1,Pegasus,7:10AM,7:10PM,London,Athens,2023/07/19,2023-07-01
95,186,pounds,False,1,easyJet,9:00AM,8:40PM,London,Athens,2023/07/19,2023-07-01
96,193,pounds,False,1,easyJet,7:00PM,10:40AM,London,Athens,2023/07/19,2023-07-01
97,194,pounds,True,1,Air Baltic,9:00AM,10:25AM,London,Athens,2023/07/19,2023-07-01
98,198,pounds,True,1,Air Baltic,5:20PM,10:25AM,London,Athens,2023/07/19,2023-07-01
99,200,pounds,False,Nonstop,easyJet,5:45AM,11:20AM,London,Athens,2023/07/19,2023-07-01
100,69,pounds,False,Nonstop,PLAY,6:30AM,10:30AM,Akureyri,London,2023/08/23,2023-07-01
101,74,pounds,False,Nonstop,easyJet,9:00AM,12:55PM,Akureyri,London,2023/08/23,2023-07-01
102,179,pounds,True,Nonstop,Icelandair,7:45AM,11:45AM,Akureyri,London,2023/08/23,2023-07-01
103,113,pounds,False,1,easyJet,9:20AM,12:00PM,Akureyri,London,2023/08/23,2023-07-01
104,127,pounds,False,1,easyJet,9:20AM,4:55PM,Akureyri,London,2023/08/23,2023-07-01
105,132,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,6:15PM,9:35PM,Akureyri,London,2023/08/23,2023-07-01
106,134,pounds,False,1,easyJet,9:20AM,8:30PM,Akureyri,London,2023/08/23,2023-07-01
107,141,pounds,True,1,"Scandinavian Airlines. Operated by Sas Connect, Sas Connect",6:10PM,5:40PM,Akureyri,London,2023/08/23,2023-07-01
108,141,pounds,True,1,"Scandinavian Airlines. Operated by Sas Connect, Sas Connect",6:10PM,9:40PM,Akureyri,London,2023/08/23,2023-07-01
109,156,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,11:05AM,6:30PM,Akureyri,London,2023/08/23,2023-07-01
110,156,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,11:05AM,9:35PM,Akureyri,London,2023/08/23,2023-07-01
111,164,pounds,False,1,easyJet,9:20AM,5:10PM,Akureyri,London,2023/08/23,2023-07-01
112,165,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,10:30AM,5:40PM,Akureyri,London,2023/08/23,2023-07-01
113,165,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,10:30AM,7:30PM,Akureyri,London,2023/08/23,2023-07-01
114,165,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,10:30AM,9:40PM,Akureyri,London,2023/08/23,2023-07-01
115,165,pounds,True,1,"Scandinavian Airlines. Operated by Sas Connect, Sas Connect",6:10PM,4:00PM,Akureyri,London,2023/08/23,2023-07-01
116,177,pounds,True,1,Air Baltic,12:25PM,8:10AM,Akureyri,London,2023/08/23,2023-07-01
117,177,pounds,True,1,Air Baltic,12:25PM,4:35PM,Akureyri,London,2023/08/23,2023-07-01
118,177,pounds,True,1,Icelandair and Scandinavian Airlines. Operated by Sas Connect,7:35AM,5:00PM,Akureyri,London,2023/08/23,2023-07-01
119,177,pounds,True,1,Icelandair and Scandinavian Airlines. Operated by Sas Connect,7:35AM,5:55PM,Akureyri,London,2023/08/23,2023-07-01
120,177,pounds,True,1,Icelandair and Scandinavian Airlines. Operated by Sas Connect,7:35AM,9:20PM,Akureyri,London,2023/08/23,2023-07-01
121,179,pounds,True,Nonstop,Icelandair,7:40AM,11:55AM,Akureyri,London,2023/08/23,2023-07-01
