,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,43,pounds,False,Nonstop,Ryanair. Operated by Malta Air,6:00AM,8:00AM,Brindisi,London,2023/08/04,2023-07-01
1,88,pounds,False,1,easyJet,2:10PM,7:35PM,Brindisi,London,2023/08/04,2023-07-01
2,159,pounds,True,1,SWISS. Operated by Helvetic,10:15AM,5:55PM,Brindisi,London,2023/08/04,2023-07-01
3,74,pounds,False,1,easyJet,9:15AM,5:55PM,Brindisi,London,2023/08/04,2023-07-01
4,86,pounds,False,1,easyJet,5:00PM,11:05PM,Brindisi,London,2023/08/04,2023-07-01
5,110,pounds,False,1,easyJet,10:35AM,7:45PM,Brindisi,London,2023/08/04,2023-07-01
6,116,pounds,False,1,easyJet,10:35AM,7:30PM,Brindisi,London,2023/08/04,2023-07-01
7,117,pounds,False,1,easyJet,10:35AM,7:00PM,Brindisi,London,2023/08/04,2023-07-01
8,120,pounds,False,1,easyJet,10:35AM,7:25PM,Brindisi,London,2023/08/04,2023-07-01
9,126,pounds,False,1,easyJet,10:35AM,6:30PM,Brindisi,London,2023/08/04,2023-07-01
10,131,pounds,False,1,easyJet,10:35AM,5:30PM,Brindisi,London,2023/08/04,2023-07-01
11,143,pounds,False,1,easyJet,10:35AM,4:10PM,Brindisi,London,2023/08/04,2023-07-01
12,152,pounds,False,1,easyJet and Vueling,10:50AM,6:55PM,Brindisi,London,2023/08/04,2023-07-01
13,165,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,6:20AM,6:35PM,Brindisi,London,2023/08/04,2023-07-01
14,165,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,6:20AM,6:35PM,Brindisi,London,2023/08/04,2023-07-01
15,165,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,11:15AM,6:35PM,Brindisi,London,2023/08/04,2023-07-01
16,189,pounds,True,1,"SWISS. Operated by Helvetic, Air Baltic",10:15AM,4:20PM,Brindisi,London,2023/08/04,2023-07-01
17,189,pounds,True,1,SWISS. Operated by Helvetic,10:15AM,5:05PM,Brindisi,London,2023/08/04,2023-07-01
18,189,pounds,True,1,"SWISS. Operated by Helvetic, Helvetic",10:15AM,6:15PM,Brindisi,London,2023/08/04,2023-07-01
19,189,pounds,True,1,"SWISS. Operated by Helvetic, Helvetic",10:15AM,7:25PM,Brindisi,London,2023/08/04,2023-07-01
20,198,pounds,False,1,easyJet,4:20PM,10:25PM,Brindisi,London,2023/08/04,2023-07-01
21,202,pounds,False,1,easyJet,9:00AM,4:25PM,Brindisi,London,2023/08/04,2023-07-01
22,207,pounds,True,1,"ITA. Operated by Hibernian Airlines Ltd DBA Ita Airways, German Airways DBA Ita Airways",6:10AM,1:15PM,Brindisi,London,2023/08/04,2023-07-01
23,207,pounds,True,1,"ITA. Operated by Hibernian Airlines Ltd DBA Ita Airways, German Airways DBA Ita Airways",6:10AM,6:35PM,Brindisi,London,2023/08/04,2023-07-01
24,207,pounds,True,1,ITA. Operated by Hibernian Airlines Ltd DBA Ita Airways,6:10AM,7:50PM,Brindisi,London,2023/08/04,2023-07-01
25,153,pounds,False,1,easyJet,8:20AM,3:50PM,London,Brindisi,2023/08/04,2023-07-01
26,221,pounds,True,1,SWISS,2:25PM,8:25PM,London,Brindisi,2023/08/04,2023-07-01
27,296,pounds,True,1,"ITA. Operated by German Airways DBA Ita Airways, Hibernian Airlines Ltd DBA Ita Airways",8:25AM,1:55PM,London,Brindisi,2023/08/04,2023-07-01
28,369,pounds,False,Nonstop,Ryanair. Operated by Malta Air,8:25AM,12:15PM,London,Brindisi,2023/08/04,2023-07-01
29,142,pounds,False,1,easyJet,6:25AM,3:50PM,London,Brindisi,2023/08/04,2023-07-01
30,158,pounds,False,1,easyJet,7:30AM,3:50PM,London,Brindisi,2023/08/04,2023-07-01
31,163,pounds,False,1,easyJet,8:20AM,7:00PM,London,Brindisi,2023/08/04,2023-07-01
32,174,pounds,True,2,SWISS. Operated by Helvetic,7:15PM,11:00AM,London,Brindisi,2023/08/04,2023-07-01
33,188,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,8:25AM,10:30AM,London,Brindisi,2023/08/04,2023-07-01
34,188,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,8:25AM,10:30AM,London,Brindisi,2023/08/04,2023-07-01
35,188,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,8:25AM,10:30AM,London,Brindisi,2023/08/04,2023-07-01
36,188,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,8:25AM,10:30AM,London,Brindisi,2023/08/04,2023-07-01
37,189,pounds,True,1,"ITA. Operated by German Airways DBA Ita Airways, Hibernian Airlines Ltd DBA Ita Airways",7:05PM,11:30PM,London,Brindisi,2023/08/04,2023-07-01
38,197,pounds,False,1,easyJet,6:55AM,4:30PM,London,Brindisi,2023/08/04,2023-07-01
39,199,pounds,True,1,Aer Lingus,9:35PM,10:05PM,London,Brindisi,2023/08/04,2023-07-01
40,204,pounds,True,1,Aer Lingus,5:20PM,10:05PM,London,Brindisi,2023/08/04,2023-07-01
41,207,pounds,True,1,Aer Lingus,10:55AM,10:05PM,London,Brindisi,2023/08/04,2023-07-01
42,207,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,8:25AM,10:50PM,London,Brindisi,2023/08/04,2023-07-01
43,207,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,7:05PM,6:25PM,London,Brindisi,2023/08/04,2023-07-01
44,207,pounds,True,2,ITA. Operated by German Airways DBA Ita Airways,7:05PM,10:50PM,London,Brindisi,2023/08/04,2023-07-01
45,210,pounds,False,1,easyJet,9:05AM,4:30PM,London,Brindisi,2023/08/04,2023-07-01
46,212,pounds,True,1,Aer Lingus,9:25AM,10:05PM,London,Brindisi,2023/08/04,2023-07-01
47,212,pounds,True,1,Aer Lingus,10:25PM,10:05PM,London,Brindisi,2023/08/04,2023-07-01
48,217,pounds,True,2,SWISS. Operated by Helvetic,7:15PM,11:00AM,London,Brindisi,2023/08/04,2023-07-01
49,221,pounds,True,1,SWISS,8:55AM,8:25PM,London,Brindisi,2023/08/04,2023-07-01
50,59,pounds,False,Nonstop,Wizz Air,10:55AM,1:00PM,Belgrade,London,2023/11/23,2023-07-01
51,84,pounds,True,1,LOT,5:15PM,10:00PM,Belgrade,London,2023/11/23,2023-07-01
52,119,pounds,True,1,Lufthansa. Operated by Lufthansa CityLine,5:10PM,8:55PM,Belgrade,London,2023/11/23,2023-07-01
53,97,pounds,True,1,LOT,5:15PM,9:30AM,Belgrade,London,2023/11/23,2023-07-01
54,97,pounds,True,1,LOT,5:15PM,5:20PM,Belgrade,London,2023/11/23,2023-07-01
55,119,pounds,True,1,Lufthansa. Operated by Lufthansa CityLine,5:10PM,10:55PM,Belgrade,London,2023/11/23,2023-07-01
56,125,pounds,True,1,Lufthansa,1:45PM,5:05PM,Belgrade,London,2023/11/23,2023-07-01
57,125,pounds,True,1,Lufthansa,1:45PM,5:45PM,Belgrade,London,2023/11/23,2023-07-01
58,125,pounds,True,1,Lufthansa,1:45PM,6:45PM,Belgrade,London,2023/11/23,2023-07-01
59,125,pounds,True,1,Lufthansa,1:45PM,8:45PM,Belgrade,London,2023/11/23,2023-07-01
