,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,29,pounds,False,Nonstop,Ryanair,2:35PM,3:55PM,Madrid,London,2023/09/23,2023-07-01
1,29,pounds,False,Nonstop,Ryanair,6:05PM,7:30PM,Madrid,London,2023/09/23,2023-07-01
2,48,pounds,False,Nonstop,easyJet,9:30PM,10:50PM,Madrid,London,2023/09/23,2023-07-01
3,34,pounds,False,Nonstop,Ryanair,6:40AM,8:05AM,Madrid,London,2023/09/23,2023-07-01
4,76,pounds,True,Nonstop,Air Europa,7:35AM,9:00AM,Madrid,London,2023/09/23,2023-07-01
5,85,pounds,True,Nonstop,Iberia,5:55PM,7:20PM,Madrid,London,2023/09/23,2023-07-01
6,85,pounds,True,Nonstop,British Airways,8:45PM,10:00PM,Madrid,London,2023/09/23,2023-07-01
7,88,pounds,True,Nonstop,Iberia Express,8:45AM,10:05AM,Madrid,London,2023/09/23,2023-07-01
8,94,pounds,True,Nonstop,Air Europa,3:00PM,4:25PM,Madrid,London,2023/09/23,2023-07-01
9,96,pounds,True,Nonstop,Iberia. Operated by Iberia Express,8:45AM,10:05AM,Madrid,London,2023/09/23,2023-07-01
10,97,pounds,True,1,Tap Air Portugal,4:20PM,10:00PM,Madrid,London,2023/09/23,2023-07-01
11,102,pounds,False,1,Vueling and easyJet,6:45PM,1:50AM,Madrid,London,2023/09/23,2023-07-01
12,102,pounds,True,1,Brussels Airlines,6:20AM,9:35PM,Madrid,London,2023/09/23,2023-07-01
13,107,pounds,False,1,easyJet,9:30AM,2:10PM,Madrid,London,2023/09/23,2023-07-01
14,110,pounds,True,1,Tap Air Portugal,1:35PM,10:00PM,Madrid,London,2023/09/23,2023-07-01
15,110,pounds,True,1,Tap Air Portugal,1:35PM,10:55PM,Madrid,London,2023/09/23,2023-07-01
16,110,pounds,True,1,Tap Air Portugal,4:20PM,10:55PM,Madrid,London,2023/09/23,2023-07-01
17,110,pounds,True,1,Tap Air Portugal,5:55PM,10:00PM,Madrid,London,2023/09/23,2023-07-01
18,110,pounds,True,1,Tap Air Portugal,5:55PM,10:55PM,Madrid,London,2023/09/23,2023-07-01
19,110,pounds,True,1,Lufthansa,6:10AM,3:40PM,Madrid,London,2023/09/23,2023-07-01
20,110,pounds,True,1,Lufthansa,6:10AM,4:40PM,Madrid,London,2023/09/23,2023-07-01
21,110,pounds,True,1,Lufthansa,6:10AM,5:00PM,Madrid,London,2023/09/23,2023-07-01
22,110,pounds,True,1,Lufthansa,6:10AM,5:40PM,Madrid,London,2023/09/23,2023-07-01
23,110,pounds,True,1,Lufthansa,6:10AM,6:40PM,Madrid,London,2023/09/23,2023-07-01
24,111,pounds,True,Nonstop,Iberia Express,6:40PM,8:00PM,Madrid,London,2023/09/23,2023-07-01
25,35,pounds,False,Nonstop,Ryanair,8:30AM,12:00PM,London,Madrid,2023/09/23,2023-07-01
26,61,pounds,True,Nonstop,Iberia Express,8:45PM,12:10AM,London,Madrid,2023/09/23,2023-07-01
27,68,pounds,True,Nonstop,British Airways,2:40PM,6:05PM,London,Madrid,2023/09/23,2023-07-01
28,34,pounds,False,Nonstop,Ryanair,4:20PM,7:50PM,London,Madrid,2023/09/23,2023-07-01
29,35,pounds,False,Nonstop,Ryanair,2:00PM,5:30PM,London,Madrid,2023/09/23,2023-07-01
30,53,pounds,False,Nonstop,easyJet,5:20PM,8:55PM,London,Madrid,2023/09/23,2023-07-01
31,57,pounds,False,1,easyJet,6:15AM,9:35AM,London,Madrid,2023/09/23,2023-07-01
32,66,pounds,False,1,easyJet,6:20PM,8:50AM,London,Madrid,2023/09/23,2023-07-01
33,68,pounds,True,Nonstop,British Airways,7:45AM,11:10AM,London,Madrid,2023/09/23,2023-07-01
34,68,pounds,True,Nonstop,Iberia,7:10PM,10:40PM,London,Madrid,2023/09/23,2023-07-01
35,68,pounds,True,Nonstop,Iberia,8:10PM,11:40PM,London,Madrid,2023/09/23,2023-07-01
36,68,pounds,True,Nonstop,Iberia. Operated by Iberia Express,8:45PM,12:10AM,London,Madrid,2023/09/23,2023-07-01
37,69,pounds,False,1,easyJet,6:20PM,3:55PM,London,Madrid,2023/09/23,2023-07-01
38,72,pounds,True,Nonstop,Air Europa,5:25PM,8:55PM,London,Madrid,2023/09/23,2023-07-01
39,77,pounds,True,Nonstop,British Airways,6:40AM,10:05AM,London,Madrid,2023/09/23,2023-07-01
40,77,pounds,True,Nonstop,British Airways,4:30PM,7:55PM,London,Madrid,2023/09/23,2023-07-01
41,88,pounds,True,2,Tap Air Portugal,9:05PM,12:20AM,London,Madrid,2023/09/23,2023-07-01
42,88,pounds,True,2,Tap Air Portugal,9:05PM,12:20AM,London,Madrid,2023/09/23,2023-07-01
43,88,pounds,True,2,Tap Air Portugal,9:05PM,12:20AM,London,Madrid,2023/09/23,2023-07-01
44,88,pounds,True,2,Tap Air Portugal,9:05PM,12:20AM,London,Madrid,2023/09/23,2023-07-01
45,96,pounds,True,1,Tap Air Portugal. Operated by Portugalia Airlines,4:25PM,12:20AM,London,Madrid,2023/09/23,2023-07-01
46,97,pounds,False,1,easyJet,12:25PM,8:50AM,London,Madrid,2023/09/23,2023-07-01
47,99,pounds,True,2,Tap Air Portugal,9:05PM,10:15AM,London,Madrid,2023/09/23,2023-07-01
48,100,pounds,False,1,easyJet,6:20PM,10:05PM,London,Madrid,2023/09/23,2023-07-01
49,101,pounds,False,1,easyJet,12:25PM,3:55PM,London,Madrid,2023/09/23,2023-07-01
