,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,163,pounds,True,1,Transavia and KLM. Operated by KLM Cityhopper,9:10AM,1:15PM,Ljubljana,London,2023/09/24,2023-06-29
1,191,pounds,True,Nonstop,British Airways,9:20PM,10:35PM,Ljubljana,London,2023/09/24,2023-06-29
2,194,pounds,True,1,LOT,5:30PM,10:00PM,Ljubljana,London,2023/09/24,2023-06-29
3,215,pounds,False,Nonstop,easyJet,3:50PM,5:10PM,Ljubljana,London,2023/09/24,2023-06-29
4,145,pounds,True,1,Transavia and KLM. Operated by KLM Cityhopper,9:10AM,5:20PM,Ljubljana,London,2023/09/24,2023-06-29
5,145,pounds,True,1,Transavia and KLM. Operated by KLM Cityhopper,9:10AM,5:50PM,Ljubljana,London,2023/09/24,2023-06-29
6,145,pounds,True,1,Transavia and KLM. Operated by KLM Cityhopper,9:10AM,6:35PM,Ljubljana,London,2023/09/24,2023-06-29
7,145,pounds,True,1,Transavia and KLM. Operated by KLM Cityhopper,9:10AM,7:30PM,Ljubljana,London,2023/09/24,2023-06-29
8,145,pounds,True,1,Transavia and KLM. Operated by KLM Cityhopper,9:10AM,7:40PM,Ljubljana,London,2023/09/24,2023-06-29
9,145,pounds,True,1,Transavia and KLM,9:10AM,8:55PM,Ljubljana,London,2023/09/24,2023-06-29
10,163,pounds,True,1,Transavia and KLM,9:10AM,4:15PM,Ljubljana,London,2023/09/24,2023-06-29
11,182,pounds,True,1,Transavia and KLM. Operated by KLM Cityhopper,9:10AM,1:50PM,Ljubljana,London,2023/09/24,2023-06-29
12,182,pounds,True,1,Transavia and KLM. Operated by KLM Cityhopper,9:10AM,8:15PM,Ljubljana,London,2023/09/24,2023-06-29
13,194,pounds,True,1,LOT,1:40PM,9:25AM,Ljubljana,London,2023/09/24,2023-06-29
14,194,pounds,True,1,LOT,5:30PM,9:25AM,Ljubljana,London,2023/09/24,2023-06-29
15,215,pounds,True,1,LOT,1:40PM,10:00PM,Ljubljana,London,2023/09/24,2023-06-29
16,221,pounds,True,2,"Air France and KLM. Operated by Hop for Air France, KLM Cityhopper",6:15AM,5:20PM,Ljubljana,London,2023/09/24,2023-06-29
17,221,pounds,True,2,"Air France and KLM. Operated by Hop for Air France, KLM Cityhopper",6:15AM,6:35PM,Ljubljana,London,2023/09/24,2023-06-29
18,221,pounds,True,2,"Air France and KLM. Operated by Hop for Air France, KLM Cityhopper",6:15AM,6:35PM,Ljubljana,London,2023/09/24,2023-06-29
19,221,pounds,True,2,"Air France and KLM. Operated by Hop for Air France, KLM Cityhopper",6:15AM,7:40PM,Ljubljana,London,2023/09/24,2023-06-29
20,221,pounds,True,2,"Air France and KLM. Operated by Hop for Air France, KLM Cityhopper",6:15AM,7:40PM,Ljubljana,London,2023/09/24,2023-06-29
21,252,pounds,True,2,Air France and KLM. Operated by Hop for Air France,6:15AM,4:15PM,Ljubljana,London,2023/09/24,2023-06-29
22,252,pounds,True,2,Air France and KLM. Operated by Hop for Air France,6:15AM,4:15PM,Ljubljana,London,2023/09/24,2023-06-29
23,252,pounds,True,2,"Air France and KLM. Operated by Hop for Air France, KLM Cityhopper",6:15AM,5:20PM,Ljubljana,London,2023/09/24,2023-06-29
24,252,pounds,True,2,"Air France and KLM. Operated by Hop for Air France, KLM Cityhopper",6:15AM,5:50PM,Ljubljana,London,2023/09/24,2023-06-29
25,94,pounds,False,Nonstop,easyJet,11:45AM,3:00PM,London,Ljubljana,2023/09/24,2023-06-29
26,131,pounds,True,Nonstop,British Airways,5:15PM,8:30PM,London,Ljubljana,2023/09/24,2023-06-29
27,157,pounds,True,1,LOT,6:30AM,1:00PM,London,Ljubljana,2023/09/24,2023-06-29
28,157,pounds,True,1,LOT,6:30AM,4:50PM,London,Ljubljana,2023/09/24,2023-06-29
29,157,pounds,True,1,LOT,10:15AM,4:50PM,London,Ljubljana,2023/09/24,2023-06-29
30,166,pounds,True,1,SWISS,12:05PM,10:15AM,London,Ljubljana,2023/09/24,2023-06-29
31,166,pounds,True,1,SWISS,5:10PM,6:15PM,London,Ljubljana,2023/09/24,2023-06-29
32,174,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,7:25AM,8:40AM,London,Ljubljana,2023/09/24,2023-06-29
33,174,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,4:10PM,8:40AM,London,Ljubljana,2023/09/24,2023-06-29
34,174,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,6:10PM,8:40AM,London,Ljubljana,2023/09/24,2023-06-29
35,176,pounds,True,2,SWISS,7:15PM,10:15AM,London,Ljubljana,2023/09/24,2023-06-29
36,180,pounds,True,1,SWISS,5:10PM,10:15AM,London,Ljubljana,2023/09/24,2023-06-29
37,192,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,10:20AM,8:40AM,London,Ljubljana,2023/09/24,2023-06-29
38,200,pounds,True,1,SWISS,5:40PM,6:15PM,London,Ljubljana,2023/09/24,2023-06-29
39,219,pounds,True,2,SWISS,8:55AM,10:15AM,London,Ljubljana,2023/09/24,2023-06-29
40,219,pounds,True,2,SWISS,7:15PM,10:15AM,London,Ljubljana,2023/09/24,2023-06-29
41,219,pounds,True,2,SWISS,7:15PM,6:15PM,London,Ljubljana,2023/09/24,2023-06-29
42,219,pounds,True,2,SWISS,7:15PM,6:15PM,London,Ljubljana,2023/09/24,2023-06-29
43,220,pounds,True,1,SWISS,5:40PM,10:15AM,London,Ljubljana,2023/09/24,2023-06-29
44,224,pounds,True,1,Brussels Airlines,5:50PM,3:55PM,London,Ljubljana,2023/09/24,2023-06-29
45,236,pounds,True,1,LOT,10:15AM,1:00PM,London,Ljubljana,2023/09/24,2023-06-29
46,238,pounds,True,2,SWISS,7:10PM,10:15AM,London,Ljubljana,2023/09/24,2023-06-29
47,238,pounds,True,2,SWISS,7:10PM,10:15AM,London,Ljubljana,2023/09/24,2023-06-29
