,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,30,pounds,False,Nonstop,Ryanair,3:15PM,4:15PM,Nimes,London,2024/04/03,2024-01-15
1,39,pounds,True,Nonstop,British Airways,3:30PM,4:30PM,Nimes,London,2024/04/03,2024-01-15
2,45,pounds,False,Nonstop,easyJet,11:20AM,12:15PM,Nimes,London,2024/04/03,2024-01-15
3,21,pounds,False,Nonstop,Ryanair. Operated by May,6:00AM,7:00AM,Nimes,London,2024/04/03,2024-01-15
4,42,pounds,True,Nonstop,British Airways,11:00AM,12:05PM,Nimes,London,2024/04/03,2024-01-15
5,42,pounds,True,Nonstop,British Airways,6:10PM,7:10PM,Nimes,London,2024/04/03,2024-01-15
6,42,pounds,True,Nonstop,British Airways,9:10PM,10:10PM,Nimes,London,2024/04/03,2024-01-15
7,47,pounds,False,1,Vueling,11:15PM,1:50PM,Nimes,London,2024/04/03,2024-01-15
8,56,pounds,False,1,Vueling,11:15PM,8:30AM,Nimes,London,2024/04/03,2024-01-15
9,56,pounds,False,1,Vueling,11:15PM,12:15PM,Nimes,London,2024/04/03,2024-01-15
10,61,pounds,False,1,Vueling,11:15PM,8:55AM,Nimes,London,2024/04/03,2024-01-15
11,61,pounds,False,1,Vueling,11:15PM,12:25PM,Nimes,London,2024/04/03,2024-01-15
12,105,pounds,True,1,Brussels Airlines,6:40AM,10:15AM,Nimes,London,2024/04/03,2024-01-15
13,105,pounds,True,1,Brussels Airlines,6:40AM,5:05PM,Nimes,London,2024/04/03,2024-01-15
14,105,pounds,True,1,Brussels Airlines,6:40AM,9:35PM,Nimes,London,2024/04/03,2024-01-15
15,105,pounds,True,1,Brussels Airlines,1:30PM,5:05PM,Nimes,London,2024/04/03,2024-01-15
16,105,pounds,True,1,Brussels Airlines,1:30PM,9:35PM,Nimes,London,2024/04/03,2024-01-15
17,106,pounds,True,1,SWISS. Operated by Helvetic,2:35PM,5:25PM,Nimes,London,2024/04/03,2024-01-15
18,106,pounds,True,1,SWISS. Operated by Helvetic,2:35PM,5:55PM,Nimes,London,2024/04/03,2024-01-15
19,106,pounds,True,1,"SWISS. Operated by Helvetic, Air Baltic",2:35PM,7:25PM,Nimes,London,2024/04/03,2024-01-15
20,106,pounds,True,1,Lufthansa. Operated by Lufthansa CityLine,6:00AM,3:45PM,Nimes,London,2024/04/03,2024-01-15
21,106,pounds,True,1,Lufthansa. Operated by Lufthansa CityLine,6:00AM,5:05PM,Nimes,London,2024/04/03,2024-01-15
22,106,pounds,True,1,Lufthansa. Operated by Lufthansa CityLine,6:00AM,6:30PM,Nimes,London,2024/04/03,2024-01-15
23,106,pounds,True,1,Lufthansa. Operated by Lufthansa CityLine,6:00AM,7:40PM,Nimes,London,2024/04/03,2024-01-15
24,106,pounds,True,1,Lufthansa. Operated by Lufthansa CityLine,5:40PM,10:40PM,Nimes,London,2024/04/03,2024-01-15
25,21,pounds,False,Nonstop,Ryanair,11:50AM,2:50PM,London,Nimes,2024/04/03,2024-01-15
26,31,pounds,False,Nonstop,easyJet,7:55AM,10:50AM,London,Nimes,2024/04/03,2024-01-15
27,52,pounds,True,Nonstop,British Airways,5:20PM,8:20PM,London,Nimes,2024/04/03,2024-01-15
28,20,pounds,False,Nonstop,Ryanair. Operated by May,8:00AM,11:00AM,London,Nimes,2024/04/03,2024-01-15
29,56,pounds,False,1,easyJet and Volotea,9:05AM,4:35PM,London,Nimes,2024/04/03,2024-01-15
30,61,pounds,True,Nonstop,British Airways,7:05AM,10:05AM,London,Nimes,2024/04/03,2024-01-15
31,66,pounds,False,1,easyJet,8:15AM,4:40PM,London,Nimes,2024/04/03,2024-01-15
32,69,pounds,False,1,easyJet,10:05PM,1:30PM,London,Nimes,2024/04/03,2024-01-15
33,73,pounds,False,1,easyJet,7:20PM,1:30PM,London,Nimes,2024/04/03,2024-01-15
34,89,pounds,False,1,Wizz Air and Volotea,8:00PM,7:35AM,London,Nimes,2024/04/03,2024-01-15
35,90,pounds,True,Nonstop,British Airways,2:15PM,5:15PM,London,Nimes,2024/04/03,2024-01-15
36,91,pounds,False,1,easyJet,5:40PM,1:30PM,London,Nimes,2024/04/03,2024-01-15
37,97,pounds,True,Nonstop,British Airways,11:35AM,2:35PM,London,Nimes,2024/04/03,2024-01-15
38,103,pounds,True,1,Air France,7:45PM,8:35AM,London,Nimes,2024/04/03,2024-01-15
39,111,pounds,False,1,easyJet,2:10PM,1:30PM,London,Nimes,2024/04/03,2024-01-15
40,114,pounds,True,1,British Airways and Iberia. Operated by Air Nostrum for Iberia,7:55AM,11:20PM,London,Nimes,2024/04/03,2024-01-15
41,118,pounds,False,1,Vueling,7:10AM,5:45PM,London,Nimes,2024/04/03,2024-01-15
42,121,pounds,True,1,Air France,3:20PM,8:35AM,London,Nimes,2024/04/03,2024-01-15
43,121,pounds,True,1,Air France,7:45PM,8:55AM,London,Nimes,2024/04/03,2024-01-15
44,121,pounds,True,1,Air France,7:45PM,9:15AM,London,Nimes,2024/04/03,2024-01-15
45,126,pounds,False,1,easyJet and Vueling,7:00AM,5:45PM,London,Nimes,2024/04/03,2024-01-15
46,129,pounds,False,1,easyJet and Vueling,7:25AM,5:45PM,London,Nimes,2024/04/03,2024-01-15
47,130,pounds,True,1,British Airways and Iberia. Operated by Air Nostrum for Iberia,6:15AM,11:20PM,London,Nimes,2024/04/03,2024-01-15
48,130,pounds,True,1,British Airways and Iberia. Operated by Air Nostrum for Iberia,4:30PM,11:20PM,London,Nimes,2024/04/03,2024-01-15
49,133,pounds,True,1,Air France,5:35PM,8:35AM,London,Nimes,2024/04/03,2024-01-15
50,46,pounds,False,Nonstop,Wizz Air,9:55PM,10:55PM,Tallinn,London,2024/04/22,2024-01-15
51,76,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,5:25PM,8:40PM,Tallinn,London,2024/04/22,2024-01-15
52,81,pounds,False,1,"Scandinavian Airlines. Operated by Xfly, Sas Connect",4:35PM,7:55PM,Tallinn,London,2024/04/22,2024-01-15
53,92,pounds,False,Nonstop,Ryanair,11:30AM,12:20PM,Tallinn,London,2024/04/22,2024-01-15
54,76,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,5:25PM,9:10AM,Tallinn,London,2024/04/22,2024-01-15
55,76,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,8:00PM,9:10AM,Tallinn,London,2024/04/22,2024-01-15
56,76,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,10:20PM,9:10AM,Tallinn,London,2024/04/22,2024-01-15
