,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,48,pounds,False,Nonstop,Wizz Air,6:05AM,7:15AM,Wroclaw,London,2023/09/06,2023-06-29
1,48,pounds,False,Nonstop,Wizz Air,7:45PM,9:00PM,Wroclaw,London,2023/09/06,2023-06-29
2,55,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,4:50PM,6:00PM,Wroclaw,London,2023/09/06,2023-06-29
3,11,pounds,False,Nonstop,Wizz Air,8:00AM,11:05AM,London,Wroclaw,2023/09/06,2023-06-29
4,11,pounds,False,Nonstop,Wizz Air,9:40PM,12:45AM,London,Wroclaw,2023/09/06,2023-06-29
5,18,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,6:25PM,9:25PM,London,Wroclaw,2023/09/06,2023-06-29
6,39,pounds,False,Nonstop,Wizz Air,7:40PM,9:15PM,Plovdiv,London,2023/09/22,2023-06-29
7,44,pounds,False,Nonstop,Wizz Air,3:15PM,4:50PM,Plovdiv,London,2023/09/22,2023-06-29
8,57,pounds,False,Nonstop,Ryanair,7:35PM,8:50PM,Plovdiv,London,2023/09/22,2023-06-29
9,price,unavailable,True,Nonstop,Bulgaria Air,3:20PM,4:45PM,Plovdiv,London,2023/09/22,2023-06-29
10,18,pounds,False,Nonstop,Wizz Air,9:55PM,3:05AM,London,Plovdiv,2023/09/22,2023-06-29
11,21,pounds,False,Nonstop,Wizz Air,5:30PM,10:40PM,London,Plovdiv,2023/09/22,2023-06-29
12,22,pounds,False,Nonstop,Ryanair,2:05PM,7:10PM,London,Plovdiv,2023/09/22,2023-06-29
13,price,unavailable,True,Nonstop,Bulgaria Air,5:35PM,10:45PM,London,Plovdiv,2023/09/22,2023-06-29
14,24,pounds,False,Nonstop,Ryanair UK,11:05AM,2:40PM,Ouarzazate,London,2023/07/04,2023-06-29
15,52,pounds,False,Nonstop,Wizz Air,12:20PM,3:50PM,Ouarzazate,London,2023/07/04,2023-06-29
16,66,pounds,False,Nonstop,easyJet,11:00AM,2:40PM,Ouarzazate,London,2023/07/04,2023-06-29
17,30,pounds,False,Nonstop,Ryanair UK,5:55AM,9:30AM,London,Ouarzazate,2023/07/04,2023-06-29
18,85,pounds,False,Nonstop,Ryanair UK,8:55AM,12:35PM,London,Ouarzazate,2023/07/04,2023-06-29
19,90,pounds,False,Nonstop,Wizz Air,8:00AM,11:30AM,London,Ouarzazate,2023/07/04,2023-06-29
20,96,pounds,False,Nonstop,Ryanair UK,3:35PM,7:15PM,London,Ouarzazate,2023/07/04,2023-06-29
21,125,pounds,False,Nonstop,easyJet,1:15PM,4:55PM,London,Ouarzazate,2023/07/04,2023-06-29
22,79,pounds,False,Nonstop,easyJet,9:50PM,11:30PM,Alicante,London,2023/11/02,2023-06-29
23,84,pounds,False,Nonstop,Ryanair,8:25AM,10:00AM,Alicante,London,2023/11/02,2023-06-29
24,99,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,4:25PM,6:00PM,Alicante,London,2023/11/02,2023-06-29
25,153,pounds,True,Nonstop,Jet2,2:55PM,4:40PM,Alicante,London,2023/11/02,2023-06-29
26,33,pounds,False,Nonstop,easyJet,4:15PM,7:50PM,London,Alicante,2023/11/02,2023-06-29
27,56,pounds,False,Nonstop,Ryanair,6:05AM,9:40AM,London,Alicante,2023/11/02,2023-06-29
28,70,pounds,True,Nonstop,Jet2,10:30AM,2:05PM,London,Alicante,2023/11/02,2023-06-29
29,76,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,12:00PM,3:35PM,London,Alicante,2023/11/02,2023-06-29
30,176,pounds,True,1,Iberia. Operated by Air Nostrum for Iberia,12:35PM,6:15PM,Rabat,London,2023/10/25,2023-06-29
31,223,pounds,True,Nonstop,Royal Air Maroc,12:10PM,3:20PM,Rabat,London,2023/10/25,2023-06-29
32,223,pounds,True,Nonstop,Royal Air Maroc,1:30PM,4:50PM,Rabat,London,2023/10/25,2023-06-29
33,223,pounds,True,Nonstop,Royal Air Maroc,2:25PM,5:45PM,Rabat,London,2023/10/25,2023-06-29
34,232,pounds,True,1,Tap Air Portugal. Operated by Portugalia Airlines,5:00PM,10:00PM,Rabat,London,2023/10/25,2023-06-29
35,119,pounds,True,1,British Airways and Royal Air Maroc,6:15AM,2:45PM,London,Rabat,2023/10/25,2023-06-29
36,122,pounds,True,1,Iberia. Operated by Air Nostrum for Iberia,10:50AM,5:10PM,London,Rabat,2023/10/25,2023-06-29
37,142,pounds,True,1,KLM and Transavia,11:45AM,7:10PM,London,Rabat,2023/10/25,2023-06-29
38,174,pounds,True,Nonstop,Royal Air Maroc,4:20PM,7:35PM,London,Rabat,2023/10/25,2023-06-29
39,191,pounds,False,Nonstop,easyJet,1:30PM,3:15PM,Cagliari,London,2023/07/30,2023-06-29
40,202,pounds,False,1,easyJet,2:00PM,6:30PM,Cagliari,London,2023/07/30,2023-06-29
41,264,pounds,False,1,Vueling,1:40PM,5:40PM,Cagliari,London,2023/07/30,2023-06-29
42,269,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,8:55PM,10:40PM,Cagliari,London,2023/07/30,2023-06-29
43,142,pounds,False,Nonstop,easyJet,8:40AM,12:25PM,London,Cagliari,2023/07/30,2023-06-29
44,166,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,4:10PM,7:50PM,London,Cagliari,2023/07/30,2023-06-29
45,275,pounds,True,1,ITA,6:45AM,12:00PM,London,Cagliari,2023/07/30,2023-06-29
46,21,pounds,False,Nonstop,easyJet,5:50PM,7:00PM,Verona,London,2023/11/24,2023-06-29
47,26,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,5:05PM,6:10PM,Verona,London,2023/11/24,2023-06-29
48,26,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,11:00AM,12:05PM,Verona,London,2023/11/24,2023-06-29
49,63,pounds,False,Nonstop,Ryanair,9:05AM,10:15AM,Verona,London,2023/11/24,2023-06-29
50,30,pounds,False,Nonstop,easyJet,2:20PM,5:20PM,London,Verona,2023/11/24,2023-06-29
51,42,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,1:10PM,4:15PM,London,Verona,2023/11/24,2023-06-29
52,46,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,7:10AM,10:15AM,London,Verona,2023/11/24,2023-06-29
53,47,pounds,False,Nonstop,Ryanair,5:45AM,8:40AM,London,Verona,2023/11/24,2023-06-29
54,44,pounds,False,Nonstop,Wizz Air,6:55AM,7:50AM,Vilnius,London,2023/09/12,2023-06-29
55,50,pounds,False,Nonstop,Ryanair,11:50AM,12:45PM,Vilnius,London,2023/09/12,2023-06-29
56,57,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,2:55PM,3:45PM,Vilnius,London,2023/09/12,2023-06-29
57,102,pounds,True,Nonstop,LOT,5:15PM,6:10PM,Vilnius,London,2023/09/12,2023-06-29
58,18,pounds,False,Nonstop,Ryanair,6:45AM,11:25AM,London,Vilnius,2023/09/12,2023-06-29
59,20,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,4:10PM,8:45PM,London,Vilnius,2023/09/12,2023-06-29
60,21,pounds,False,Nonstop,Wizz Air,8:40AM,1:25PM,London,Vilnius,2023/09/12,2023-06-29
61,31,pounds,False,Nonstop,easyJet,10:25AM,10:45AM,Rennes,London,2023/11/09,2023-06-29
62,61,pounds,True,1,Iberia and British Airways. Operated by Air Nostrum for Iberia,9:45AM,2:15PM,Rennes,London,2023/11/09,2023-06-29
63,64,pounds,False,1,easyJet,5:55PM,10:45PM,Rennes,London,2023/11/09,2023-06-29
64,137,pounds,True,1,Air France,11:05AM,1:45PM,Rennes,London,2023/11/09,2023-06-29
65,167,pounds,True,1,KLM. Operated by KLM Cityhopper,2:15PM,5:00PM,Rennes,London,2023/11/09,2023-06-29
66,27,pounds,False,Nonstop,easyJet,7:30AM,9:55AM,London,Rennes,2023/11/09,2023-06-29
67,137,pounds,True,1,Air France. Operated by HOP!,9:00AM,1:35PM,London,Rennes,2023/11/09,2023-06-29
68,145,pounds,True,1,"KLM. Operated by KLM Cityhopper, KLM Cityhopper",8:40AM,1:45PM,London,Rennes,2023/11/09,2023-06-29
69,22,pounds,False,Nonstop,Ryanair,10:55AM,12:45PM,Jerez,London,2023/07/27,2023-06-29
70,57,pounds,False,Nonstop,easyJet,12:10PM,1:55PM,Jerez,London,2023/07/27,2023-06-29
71,61,pounds,False,Nonstop,Vueling,6:25PM,8:10PM,Jerez,London,2023/07/27,2023-06-29
72,82,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,6:40PM,8:25PM,Jerez,London,2023/07/27,2023-06-29
73,88,pounds,False,Nonstop,Vueling,8:50PM,12:30AM,London,Jerez,2023/07/27,2023-06-29
74,99,pounds,False,Nonstop,Ryanair,6:25AM,10:20AM,London,Jerez,2023/07/27,2023-06-29
75,113,pounds,False,Nonstop,easyJet,8:00AM,11:35AM,London,Jerez,2023/07/27,2023-06-29
76,63,pounds,True,1,Scandinavian Airlines,6:40AM,4:25PM,Haugesund,London,2023/08/15,2023-06-29
77,70,pounds,False,1,Norwegian,6:30AM,2:25PM,Haugesund,London,2023/08/15,2023-06-29
78,70,pounds,False,1,Norwegian,4:10PM,7:05PM,Haugesund,London,2023/08/15,2023-06-29
79,116,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,3:20PM,6:30PM,Haugesund,London,2023/08/15,2023-06-29
80,119,pounds,True,2,Scandinavian Airlines. Operated by Sas Connect,6:40AM,12:55PM,Haugesund,London,2023/08/15,2023-06-29
81,127,pounds,False,1,Norwegian,3:05PM,10:55PM,London,Haugesund,2023/08/15,2023-06-29
82,134,pounds,False,1,Norwegian,9:20AM,3:40PM,London,Haugesund,2023/08/15,2023-06-29
83,139,pounds,True,2,Scandinavian Airlines,7:50PM,2:50PM,London,Haugesund,2023/08/15,2023-06-29
84,242,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,3:35PM,8:45PM,London,Haugesund,2023/08/15,2023-06-29
85,13,pounds,False,Nonstop,Wizz Air,6:05AM,7:35AM,Katowice,London,2023/07/21,2023-06-29
86,13,pounds,False,Nonstop,Wizz Air,7:35PM,9:10PM,Katowice,London,2023/07/21,2023-06-29
87,20,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,5:40PM,7:00PM,Katowice,London,2023/07/21,2023-06-29
88,153,pounds,False,Nonstop,easyJet,5:15PM,8:45PM,London,Katowice,2023/07/21,2023-06-29
89,169,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,8:20AM,11:30AM,London,Katowice,2023/07/21,2023-06-29
90,175,pounds,False,Nonstop,Wizz Air,8:25AM,11:45AM,London,Katowice,2023/07/21,2023-06-29
91,199,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,7:25PM,10:35PM,London,Katowice,2023/07/21,2023-06-29
92,47,pounds,False,Nonstop,Vueling,6:05PM,6:55PM,Bilbao,London,2023/07/05,2023-06-29
93,59,pounds,False,Nonstop,Vueling,7:00AM,7:50AM,Bilbao,London,2023/07/05,2023-06-29
94,82,pounds,False,Nonstop,Vueling,2:00PM,2:50PM,Bilbao,London,2023/07/05,2023-06-29
95,98,pounds,False,Nonstop,Vueling,3:30PM,6:30PM,London,Bilbao,2023/07/05,2023-06-29
96,138,pounds,False,Nonstop,Vueling,7:40PM,10:40PM,London,Bilbao,2023/07/05,2023-06-29
97,173,pounds,False,Nonstop,Vueling,8:30AM,11:30AM,London,Bilbao,2023/07/05,2023-06-29
98,177,pounds,False,Nonstop,Ryanair,10:05PM,12:20AM,Rhodes,London,2023/09/24,2023-06-29
99,178,pounds,True,Nonstop,Jet2,10:25PM,12:35AM,Rhodes,London,2023/09/24,2023-06-29
100,204,pounds,False,Nonstop,easyJet,2:30PM,4:45PM,Rhodes,London,2023/09/24,2023-06-29
101,37,pounds,False,Nonstop,Ryanair,3:40PM,9:40PM,London,Rhodes,2023/09/24,2023-06-29
102,44,pounds,False,Nonstop,easyJet,4:00PM,10:05PM,London,Rhodes,2023/09/24,2023-06-29
103,96,pounds,True,Nonstop,Jet2,3:30PM,9:35PM,London,Rhodes,2023/09/24,2023-06-29
104,19,pounds,False,Nonstop,Ryanair,3:00PM,3:55PM,Vaxjo,London,2023/10/07,2023-06-29
105,26,pounds,False,Nonstop,Ryanair,3:40PM,4:35PM,Vaxjo,London,2023/10/07,2023-06-29
106,27,pounds,False,Nonstop,Ryanair,1:55PM,2:50PM,Vaxjo,London,2023/10/07,2023-06-29
107,47,pounds,False,Nonstop,Norwegian,1:55PM,2:50PM,Vaxjo,London,2023/10/07,2023-06-29
108,47,pounds,True,Nonstop,Scandinavian Airlines. Operated by Sas Connect,3:00PM,4:00PM,Vaxjo,London,2023/10/07,2023-06-29
109,18,pounds,False,Nonstop,Ryanair,11:50AM,2:35PM,London,Vaxjo,2023/10/07,2023-06-29
110,20,pounds,False,Nonstop,Ryanair,10:45AM,1:30PM,London,Vaxjo,2023/10/07,2023-06-29
111,23,pounds,False,Nonstop,Ryanair,12:30PM,3:15PM,London,Vaxjo,2023/10/07,2023-06-29
112,27,pounds,False,Nonstop,easyJet,7:00AM,9:50AM,London,Vaxjo,2023/10/07,2023-06-29
113,48,pounds,False,Nonstop,easyJet,3:30PM,3:40PM,Maastricht,London,2023/08/18,2023-06-29
114,68,pounds,True,Nonstop,British Airways,6:50AM,7:05AM,Maastricht,London,2023/08/18,2023-06-29
115,77,pounds,True,Nonstop,Brussels Airlines,4:55PM,5:05PM,Maastricht,London,2023/08/18,2023-06-29
116,36,pounds,False,Nonstop,easyJet,4:50PM,6:55PM,London,Maastricht,2023/08/18,2023-06-29
117,60,pounds,True,Nonstop,British Airways,8:20PM,10:30PM,London,Maastricht,2023/08/18,2023-06-29
118,88,pounds,True,Nonstop,Brussels Airlines,5:50PM,7:55PM,London,Maastricht,2023/08/18,2023-06-29
119,100,pounds,False,Nonstop,Ryanair,6:10AM,7:35AM,Volos,London,2023/08/16,2023-06-29
120,114,pounds,False,Nonstop,easyJet,9:35PM,11:10PM,Volos,London,2023/08/16,2023-06-29
121,154,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,1:00PM,2:20PM,Volos,London,2023/08/16,2023-06-29
122,54,pounds,False,Nonstop,Wizz Air,6:50AM,12:35PM,London,Volos,2023/08/16,2023-06-29
123,60,pounds,False,Nonstop,Ryanair,8:00AM,1:10PM,London,Volos,2023/08/16,2023-06-29
124,85,pounds,False,Nonstop,easyJet,3:10PM,8:45PM,London,Volos,2023/08/16,2023-06-29
125,101,pounds,True,Nonstop,Jet2,3:05PM,8:30PM,London,Volos,2023/08/16,2023-06-29
126,108,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,6:50AM,12:10PM,London,Volos,2023/08/16,2023-06-29
127,179,pounds,True,1,Aegean,6:05AM,11:15AM,Santorini,London,2023/10/28,2023-06-29
128,200,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,6:15PM,8:20PM,Santorini,London,2023/10/28,2023-06-29
129,213,pounds,False,Nonstop,easyJet,2:50PM,4:50PM,Santorini,London,2023/10/28,2023-06-29
130,267,pounds,True,Nonstop,British Airways,5:05PM,7:05PM,Santorini,London,2023/10/28,2023-06-29
131,273,pounds,True,Nonstop,British Airways,4:05PM,6:05PM,Santorini,London,2023/10/28,2023-06-29
132,44,pounds,False,Nonstop,easyJet,8:05AM,2:00PM,London,Santorini,2023/10/28,2023-06-29
133,47,pounds,False,Nonstop,easyJet,2:25PM,8:20PM,London,Santorini,2023/10/28,2023-06-29
134,79,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,11:10AM,5:15PM,London,Santorini,2023/10/28,2023-06-29
135,108,pounds,True,1,Iberia. Operated by Iberia Express,12:00PM,6:15PM,Gran Canaria,London,2023/10/25,2023-06-29
136,142,pounds,False,Nonstop,Ryanair,12:15PM,4:30PM,Gran Canaria,London,2023/10/25,2023-06-29
137,144,pounds,False,Nonstop,easyJet,8:15PM,12:25AM,Gran Canaria,London,2023/10/25,2023-06-29
138,161,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,8:10PM,12:25AM,Gran Canaria,London,2023/10/25,2023-06-29
139,40,pounds,False,Nonstop,Ryanair,1:35PM,6:00PM,London,Gran Canaria,2023/10/25,2023-06-29
140,125,pounds,False,Nonstop,easyJet,2:50PM,7:25PM,London,Gran Canaria,2023/10/25,2023-06-29
141,143,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,2:50PM,7:15PM,London,Gran Canaria,2023/10/25,2023-06-29
142,200,pounds,True,1,Turkish Airlines,12:50PM,8:50PM,Tivat,London,2023/11/26,2023-06-29
143,241,pounds,True,1,Turkish Airlines,4:40PM,12:00PM,London,Tivat,2023/11/26,2023-06-29
144,278,pounds,True,1,Turkish Airlines,10:20PM,12:00PM,London,Tivat,2023/11/26,2023-06-29
145,363,pounds,True,3,"Turkish Airlines and Air Serbia. Operated by Anadolujet Trademark of Turkish Airlines, Anadolujet Trademark of Turkish Airlines, Anadolujet Trademark of Turkish Airlines",11:00PM,2:35PM,London,Tivat,2023/11/26,2023-06-29
146,73,pounds,False,Nonstop,easyJet,10:25PM,1:55AM,Essaouira,London,2023/10/22,2023-06-29
147,175,pounds,False,Nonstop,Ryanair UK,6:45PM,10:20PM,Essaouira,London,2023/10/22,2023-06-29
148,258,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,10:35AM,2:10PM,Essaouira,London,2023/10/22,2023-06-29
149,161,pounds,True,1,Air Europa. Operated by Air Europa Express,5:25PM,12:55AM,London,Essaouira,2023/10/22,2023-06-29
150,241,pounds,False,Nonstop,easyJet,6:00PM,9:40PM,London,Essaouira,2023/10/22,2023-06-29
151,243,pounds,True,1,"Tap Air Portugal. Operated by Portugalia Airlines, Portugalia Airlines",10:35AM,4:20PM,London,Essaouira,2023/10/22,2023-06-29
152,336,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,6:20AM,9:50AM,London,Essaouira,2023/10/22,2023-06-29
153,360,pounds,False,Nonstop,Ryanair UK,2:40PM,6:20PM,London,Essaouira,2023/10/22,2023-06-29
154,286,pounds,True,1,Turkish Airlines,9:30AM,3:55PM,Podgorica,London,2023/08/09,2023-06-29
155,423,pounds,True,1,LOT,1:20PM,10:00PM,Podgorica,London,2023/08/09,2023-06-29
156,516,pounds,True,1,Austrian,3:00PM,6:40PM,Podgorica,London,2023/08/09,2023-06-29
157,130,pounds,False,1,Wizz Air,7:35PM,7:20AM,London,Podgorica,2023/08/09,2023-06-29
158,203,pounds,True,2,Lufthansa and Austrian,3:30PM,11:30PM,London,Podgorica,2023/08/09,2023-06-29
159,450,pounds,True,1,Austrian,9:05AM,2:15PM,London,Podgorica,2023/08/09,2023-06-29
