,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,63,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,9:40AM,2:35PM,Haugesund,London,2023/08/30,2023-06-29
1,63,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,3:20PM,6:30PM,Haugesund,London,2023/08/30,2023-06-29
2,63,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,6:15PM,9:35PM,Haugesund,London,2023/08/30,2023-06-29
3,70,pounds,False,1,Norwegian,9:40AM,12:45PM,Haugesund,London,2023/08/30,2023-06-29
4,73,pounds,True,1,"Scandinavian Airlines. Operated by Sas Link, Sas Connect",10:20AM,4:00PM,Haugesund,London,2023/08/30,2023-06-29
5,96,pounds,False,1,Norwegian,3:05PM,9:55PM,London,Haugesund,2023/08/30,2023-06-29
6,100,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,3:35PM,8:45PM,London,Haugesund,2023/08/30,2023-06-29
7,197,pounds,True,2,KLM and Wideroe. Operated by KLM Cityhopper,8:40AM,3:45PM,London,Haugesund,2023/08/30,2023-06-29
8,38,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,10:05PM,10:45PM,Bergerac,London,2023/11/12,2023-06-29
9,47,pounds,False,Nonstop,easyJet,6:20PM,7:00PM,Bergerac,London,2023/11/12,2023-06-29
10,90,pounds,False,Nonstop,Ryanair,4:25PM,5:05PM,Bergerac,London,2023/11/12,2023-06-29
11,41,pounds,True,Nonstop,British Airways. Operated by BA Euroflyer,6:40PM,9:20PM,London,Bergerac,2023/11/12,2023-06-29
12,41,pounds,False,Nonstop,easyJet,7:35PM,10:10PM,London,Bergerac,2023/11/12,2023-06-29
13,58,pounds,False,Nonstop,Ryanair,1:15PM,4:00PM,London,Bergerac,2023/11/12,2023-06-29
14,63,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,10:20AM,2:35PM,Kristiansand,London,2023/09/05,2023-06-29
15,63,pounds,True,1,Scandinavian Airlines. Operated by Sas Connect,3:35PM,6:30PM,Kristiansand,London,2023/09/05,2023-06-29
