,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,63,pounds,True,1,Iberia and British Airways,1:30PM,10:00PM,Asturias,London,2023/10/05,2023-06-29
1,72,pounds,True,1,Iberia,1:30PM,5:15PM,Asturias,London,2023/10/05,2023-06-29
2,74,pounds,True,1,Iberia,9:15AM,4:20PM,Asturias,London,2023/10/05,2023-06-29
3,83,pounds,True,1,Iberia,6:40AM,10:35AM,Asturias,London,2023/10/05,2023-06-29
4,96,pounds,False,1,Vueling,5:05PM,9:05PM,Asturias,London,2023/10/05,2023-06-29
5,63,pounds,True,1,Iberia and British Airways,9:15AM,10:00PM,Asturias,London,2023/10/05,2023-06-29
6,65,pounds,True,1,Iberia,6:40AM,7:20PM,Asturias,London,2023/10/05,2023-06-29
7,69,pounds,True,1,Iberia and British Airways,6:40AM,10:00PM,Asturias,London,2023/10/05,2023-06-29
8,72,pounds,True,1,Iberia,6:40AM,4:20PM,Asturias,London,2023/10/05,2023-06-29
9,72,pounds,True,1,Iberia,6:40AM,5:15PM,Asturias,London,2023/10/05,2023-06-29
10,72,pounds,True,1,Iberia,9:15AM,5:15PM,Asturias,London,2023/10/05,2023-06-29
11,73,pounds,True,1,Iberia,6:40AM,6:15PM,Asturias,London,2023/10/05,2023-06-29
12,73,pounds,True,1,Iberia and British Airways. Operated by Finnair for British Airways,6:40AM,9:15PM,Asturias,London,2023/10/05,2023-06-29
13,73,pounds,True,1,Iberia,9:15AM,6:15PM,Asturias,London,2023/10/05,2023-06-29
14,73,pounds,True,1,Iberia,9:15AM,7:20PM,Asturias,London,2023/10/05,2023-06-29
15,73,pounds,True,1,Iberia and British Airways. Operated by Finnair for British Airways,9:15AM,9:15PM,Asturias,London,2023/10/05,2023-06-29
16,73,pounds,True,1,Iberia,1:30PM,6:15PM,Asturias,London,2023/10/05,2023-06-29
17,73,pounds,True,1,Iberia,1:30PM,7:20PM,Asturias,London,2023/10/05,2023-06-29
18,73,pounds,True,1,Iberia and British Airways. Operated by Finnair for British Airways,1:30PM,9:15PM,Asturias,London,2023/10/05,2023-06-29
19,74,pounds,True,1,Iberia. Operated by Iberia Express,9:40PM,10:05AM,Asturias,London,2023/10/05,2023-06-29
20,77,pounds,True,1,Iberia and British Airways,9:40PM,10:00PM,Asturias,London,2023/10/05,2023-06-29
21,83,pounds,True,1,Iberia,6:40AM,2:55PM,Asturias,London,2023/10/05,2023-06-29
22,89,pounds,True,1,Iberia. Operated by Iberia Express,9:15AM,10:05AM,Asturias,London,2023/10/05,2023-06-29
23,89,pounds,True,1,Iberia. Operated by Iberia Express,1:30PM,10:05AM,Asturias,London,2023/10/05,2023-06-29
24,91,pounds,False,1,Vueling and easyJet,10:50PM,8:35AM,Asturias,London,2023/10/05,2023-06-29
25,18,pounds,False,Nonstop,Wizz Air,6:00AM,7:40AM,Kosice,London,2023/08/01,2023-06-29
26,20,pounds,False,Nonstop,Wizz Air,5:40PM,7:20PM,Kosice,London,2023/08/01,2023-06-29
27,24,pounds,False,Nonstop,Wizz Air,4:25PM,6:10PM,Kosice,London,2023/08/01,2023-06-29
28,39,pounds,False,Nonstop,Ryanair,3:10PM,4:45PM,Kosice,London,2023/08/01,2023-06-29
29,25,pounds,False,Nonstop,Wizz Air,12:35PM,2:15PM,Kosice,London,2023/08/01,2023-06-29
30,27,pounds,False,Nonstop,Ryanair,10:40AM,12:15PM,Kosice,London,2023/08/01,2023-06-29
31,27,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,6:30AM,8:05AM,Kosice,London,2023/08/01,2023-06-29
32,30,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,11:45AM,1:20PM,Kosice,London,2023/08/01,2023-06-29
