,Price,Unit,Luggage,Stops,Airline,Depart,Arrive,Start,Destination,FlightDate,CheckDate
0,35,pounds,False,Nonstop,Ryanair,6:15AM,7:40AM,Gdansk,London,2023/11/16,2023-06-29
1,35,pounds,False,Nonstop,Wizz Air,6:20AM,7:50AM,Gdansk,London,2023/11/16,2023-06-29
2,39,pounds,False,Nonstop,Ryanair. Operated by Ryanair Sun,4:40PM,6:05PM,Gdansk,London,2023/11/16,2023-06-29
3,45,pounds,False,Nonstop,Wizz Air,7:30PM,9:00PM,Gdansk,London,2023/11/16,2023-06-29
4,32,pounds,False,Nonstop,Ryanair,8:05AM,11:10AM,London,Gdansk,2023/11/16,2023-06-29
5,45,pounds,False,Nonstop,Wizz Air,8:35AM,11:50AM,London,Gdansk,2023/11/16,2023-06-29
6,49,pounds,False,Nonstop,Wizz Air,9:40PM,12:55AM,London,Gdansk,2023/11/16,2023-06-29
7,22,pounds,False,Nonstop,Ryanair,5:35PM,5:40PM,Eindhoven,London,2023/08/20,2023-06-29
8,22,pounds,False,Nonstop,Ryanair,7:55PM,8:00PM,Eindhoven,London,2023/08/20,2023-06-29
9,30,pounds,False,Nonstop,Ryanair,10:00AM,10:05AM,Eindhoven,London,2023/08/20,2023-06-29
10,22,pounds,False,Nonstop,Ryanair,7:30AM,9:35AM,London,Eindhoven,2023/08/20,2023-06-29
11,48,pounds,False,Nonstop,Ryanair,3:05PM,5:10PM,London,Eindhoven,2023/08/20,2023-06-29
12,66,pounds,False,Nonstop,Ryanair,5:25PM,7:30PM,London,Eindhoven,2023/08/20,2023-06-29
13,259,pounds,True,1,KLM,6:30AM,11:45AM,London,Eindhoven,2023/08/20,2023-06-29
14,58,pounds,True,Nonstop,Air Baltic,4:00PM,5:05PM,Tallinn,London,2023/10/31,2023-06-29
15,80,pounds,True,1,Air Baltic,5:30AM,8:40AM,Tallinn,London,2023/10/31,2023-06-29
16,82,pounds,True,1,"Scandinavian Airlines. Operated by Xfly, Sas Connect",4:30PM,7:55PM,Tallinn,London,2023/10/31,2023-06-29
17,100,pounds,True,1,Finnair. Operated by Nordic Reg for Finnair,5:25PM,8:35PM,Tallinn,London,2023/10/31,2023-06-29
18,60,pounds,True,Nonstop,Air Baltic,5:50PM,10:40PM,London,Tallinn,2023/10/31,2023-06-29
19,108,pounds,True,1,Lufthansa,3:30PM,11:55PM,London,Tallinn,2023/10/31,2023-06-29
20,114,pounds,True,1,"Scandinavian Airlines. Operated by Sas Connect, Cityjet",6:40AM,3:10PM,London,Tallinn,2023/10/31,2023-06-29
